property_id,source_id,source_region,feature_category,building,centroid_lat,centroid_lon,area_sq_m,area_sq_ft,area_sq_yd,perimeter_m,bbox
PROP-KOK-000001,way/356011387,kokapet,property_candidate,yes,17.3878587,78.3342363,143.8,1547.87,171.99,49.19,"{'min_lon': 78.3341598, 'min_lat': 17.3878061, 'max_lon': 78.3343128, 'max_lat': 17.3879113}"
PROP-KOK-000002,way/356011393,kokapet,property_candidate,yes,17.38775008,78.33421299,143.88,1548.68,172.08,49.2,"{'min_lon': 78.3341365, 'min_lat': 17.3876975, 'max_lon': 78.3342895, 'max_lat': 17.3878027}"
PROP-KOK-000003,way/356011402,kokapet,property_candidate,yes,17.3879705,78.3342556,143.8,1547.87,171.99,49.19,"{'min_lon': 78.3341791, 'min_lat': 17.3879179, 'max_lon': 78.3343321, 'max_lat': 17.3880231}"
PROP-KOK-000004,way/356011415,kokapet,property_candidate,yes,17.38753475,78.3341797,143.97,1549.65,172.18,49.21,"{'min_lon': 78.3341032, 'min_lat': 17.3874821, 'max_lon': 78.3342562, 'max_lat': 17.3875874}"
PROP-KOK-000005,way/356011421,kokapet,property_candidate,yes,17.38742295,78.33415975,143.99,1549.9,172.21,49.22,"{'min_lon': 78.3340832, 'min_lat': 17.3873703, 'max_lon': 78.3342363, 'max_lat': 17.3874756}"
PROP-KOK-000006,way/356011429,kokapet,property_candidate,yes,17.3876402,78.334197,143.8,1547.88,171.99,49.19,"{'min_lon': 78.3341205, 'min_lat': 17.3875876, 'max_lon': 78.3342735, 'max_lat': 17.3876928}"
PROP-KOK-000007,way/356011436,kokapet,property_candidate,yes,17.38719952,78.33411589,153.89,1656.42,184.05,50.75,"{'min_lon': 78.3340386, 'min_lat': 17.3871526, 'max_lon': 78.334193, 'max_lat': 17.3872512}"
PROP-KOK-000008,way/356011454,kokapet,property_candidate,yes,17.38730795,78.3341418,143.84,1548.29,172.03,49.19,"{'min_lon': 78.3340661, 'min_lat': 17.3872567, 'max_lon': 78.3342175, 'max_lat': 17.3873592}"
PROP-KOK-000009,way/356011456,kokapet,property_candidate,yes,17.38817165,78.33428405,143.99,1549.89,172.21,49.22,"{'min_lon': 78.3342075, 'min_lat': 17.388119, 'max_lon': 78.3343606, 'max_lat': 17.3882243}"
PROP-KOK-000010,way/356011463,kokapet,property_candidate,yes,17.38807762,78.33426591,137.71,1482.28,164.7,47.91,"{'min_lon': 78.3341924, 'min_lat': 17.3880254, 'max_lon': 78.3343394, 'max_lat': 17.3881298}"
PROP-KOK-000011,way/356011522,kokapet,property_candidate,yes,17.38744317,78.33398913,120.97,1302.09,144.68,47.12,"{'min_lon': 78.3339147, 'min_lat': 17.387394, 'max_lon': 78.3340527, 'max_lat': 17.3874961}"
PROP-KOK-000012,way/356011523,kokapet,property_candidate,yes,17.38773686,78.33357482,111.89,1204.4,133.82,46.3,"{'min_lon': 78.333499, 'min_lat': 17.3876903, 'max_lon': 78.3336365, 'max_lat': 17.3877879}"
PROP-KOK-000013,way/356011524,kokapet,property_candidate,yes,17.38746072,78.33452345,120.22,1294.07,143.79,47.19,"{'min_lon': 78.3344469, 'min_lat': 17.3874139, 'max_lon': 78.3345882, 'max_lat': 17.3875107}"
PROP-KOK-000014,way/356011526,kokapet,property_candidate,yes,17.38818989,78.33411638,120.98,1302.26,144.7,47.09,"{'min_lon': 78.334042, 'min_lat': 17.3881407, 'max_lon': 78.33418, 'max_lat': 17.3882428}"
PROP-KOK-000015,way/356011527,kokapet,property_candidate,yes,17.38680212,78.33440379,120.15,1293.24,143.69,47.18,"{'min_lon': 78.3343273, 'min_lat': 17.3867553, 'max_lon': 78.3344685, 'max_lat': 17.3868521}"
PROP-KOK-000016,way/356011528,kokapet,property_candidate,yes,17.38733327,78.33396782,120.99,1302.33,144.7,47.1,"{'min_lon': 78.3338934, 'min_lat': 17.3872841, 'max_lon': 78.3340314, 'max_lat': 17.3873862}"
PROP-KOK-000017,way/356011529,kokapet,property_candidate,yes,17.38762499,78.33356165,111.85,1203.94,133.77,46.29,"{'min_lon': 78.3334858, 'min_lat': 17.3875785, 'max_lon': 78.3336234, 'max_lat': 17.387676}"
